ExitDistance,HasSupply,HasEnemy,ClosestEnemy,ClosestEnemyToSupply,Utility,Action
7,Yes,Yes,3,0,3,GetExit
6,Yes,Yes,2,0,4,GetExit
5,Yes,Yes,1,0,5,GetExit
4,Yes,Yes,0.3035803,0,6,GetExit
3,Yes,Yes,0,0,7,GetExit
2,Yes,Yes,1,0,6,GetExit
1,Yes,Yes,2,0,5,GetExit
0,Yes,Yes,1,1,66,GetFood
1,Yes,Yes,0,1,67,GetFood
2,Yes,Yes,0,1,68,GetFood
3,Yes,Yes,1,1,69,GetFood
4,Yes,Yes,0,0,68,GetFood
5,Yes,Yes,1,1,67,GetFood
6,Yes,Yes,1.640201,1.640201,66,GetFood
7,Yes,Yes,2,1,65,GetFood
6,Yes,Yes,1,1,66,GetFood
6,Yes,Yes,1,0,48,GetFood
5,Yes,Yes,0,0,31,GetExit
6,Yes,Yes,1,0,30,GetExit
7,Yes,Yes,2,0,29,GetExit
7,Yes,Yes,2,0,29,GetExit
7,Yes,Yes,2,0,29,GetExit
7,Yes,Yes,2,0,29,GetExit
7,Yes,Yes,2,0,29,GetExit
7,Yes,Yes,2,0,29,GetExit
7,Yes,Yes,2,0,29,GetExit
6,Yes,Yes,1,0,30,GetExit
5,Yes,Yes,0,0,31,GetExit
4,Yes,Yes,0,0,32,GetExit
3,Yes,Yes,0,0,33,GetExit
2,Yes,Yes,1,0,32,GetExit
1,Yes,Yes,2,0,31,GetExit
7,Yes,Yes,1,1,45,GetFood
6,Yes,Yes,0,1,46,GetFood
5,Yes,Yes,0.4047346,0.4047346,47,GetFood
4,Yes,Yes,1,0,48,GetFood
3,Yes,Yes,0,1,49,GetFood
2,Yes,Yes,1,1,50,GetFood
2,Yes,Yes,0.5449243,0.5449243,30,GetFood
2,Yes,Yes,0,1,20,GetExit
1,Yes,Yes,1,1,21,GetExit
1,Yes,Yes,1,1,21,GetExit
1,Yes,Yes,0.5829601,0.5829601,21,GetExit
7,Yes,Yes,2,1,41,GetFood
6,Yes,Yes,1,1,42,GetFood
6,Yes,Yes,1,1,30,GetFood
6,Yes,Yes,1,1,30,GetFood
5,Yes,Yes,0,1,31,GetFood
4,Yes,Yes,0,1,32,GetFood
3,Yes,Yes,1,1,33,GetFood
2,Yes,Yes,0,0,34,GetFood
2,Yes,Yes,0,0,24,GetExit
1,Yes,Yes,1,1,25,GetExit
0,Yes,Yes,1.827103,0.8271027,24,GetExit
0,Yes,Yes,2,1,18,GetFood
0,Yes,Yes,2,1,18,GetFood
0,Yes,Yes,1.358022,0.3580217,18,GetFood
0,Yes,Yes,1,0,18,GetFood
0,Yes,Yes,1,0,18,GetFood
0,Yes,Yes,1,0,18,GetFood
0,Yes,Yes,0.3750095,0.6249905,18,GetFood
1,Yes,Yes,1,1,19,GetExit
1,Yes,Yes,1,1,19,GetExit
7,Yes,Yes,4,3,37,GetFood
7,Yes,Yes,4,3,37,GetFood
7,Yes,Yes,3.399958,2.399958,37,GetFood
6,Yes,Yes,2,0,28,GetFood
6,Yes,Yes,2,0,28,GetFood
5,Yes,Yes,1,0,29,GetFood
4,Yes,Yes,0.6468523,1,12,GetFood
5,Yes,Yes,0,1,11,GetFood
5,Yes,Yes,0,1,11,GetFood
5,Yes,Yes,0,1,11,GetFood
4,Yes,Yes,0.386658,1,12,GetFood
3,Yes,Yes,1,1,13,GetFood
2,Yes,Yes,0,0,14,GetFood
1,Yes,Yes,0,1,5,GetExit
0,Yes,Yes,0.6948218,0.3403854,4,GetExit
0,Yes,Yes,0,0,4,GetExit
0,Yes,Yes,0,0,4,GetExit
0,Yes,Yes,0,0,4,GetExit
0,Yes,Yes,0,0,4,GetExit
7,Yes,Yes,2,1,33,GetFood
7,Yes,Yes,2,1,33,GetFood
7,Yes,Yes,1.587777,0.5877771,33,GetFood
7,Yes,Yes,1,0,33,GetFood
6,Yes,Yes,0,0,14,GetFood
6,Yes,Yes,0,0,14,GetFood
6,Yes,Yes,0,0,14,GetFood
5,Yes,Yes,1,0,15,GetFood
4,Yes,Yes,1,0,16,GetFood
3,Yes,Yes,0,0,17,GetFood
3,No,Yes,0,1000,-3,GetExit
2,No,Yes,1,1000,-2,GetExit
1,No,Yes,2,1000,-1,GetExit
1,No,Yes,2,1000,-1,GetExit
1,No,Yes,1.366136,1000,-1,GetExit
1,No,Yes,1,1000,-1,GetExit
0,No,Yes,2,1000,0,GetExit
0,No,Yes,2,1000,0,GetExit
0,No,Yes,1.37118,1000,0,GetExit
7,Yes,Yes,2,1,33,GetFood
7,Yes,Yes,2,1,33,GetFood
7,Yes,Yes,1.763692,0.3776371,33,GetFood
7,Yes,Yes,1,0,33,GetFood
7,Yes,Yes,1,0,33,GetFood
7,Yes,Yes,1,0,33,GetFood
7,Yes,Yes,0.739202,0.6312506,33,GetFood
6,Yes,Yes,1,1,34,GetFood
5,Yes,Yes,0,1,35,GetFood
4,Yes,Yes,1,0,16,GetExit
4,Yes,Yes,0.385818,0.4402337,16,GetExit
3,Yes,Yes,1,1,17,GetExit
2,Yes,Yes,2,1,16,GetExit
1,Yes,Yes,3,1,15,GetExit
0,Yes,Yes,1,0,10,GetFood
0,Yes,Yes,1,0,10,GetFood
0,Yes,Yes,0.690938,0.309062,10,GetFood
0,Yes,Yes,0,1,10,GetFood
0,Yes,Yes,0,1,10,GetFood
1,Yes,Yes,1,1,11,GetFood
1,Yes,Yes,0.771813,0.4454432,1,GetExit
1,Yes,Yes,0,1,1,GetExit
1,Yes,Yes,0,1,1,GetExit
0,Yes,Yes,1,1,0,GetExit
0,Yes,Yes,0.765164,1.420093,0,GetExit
0,Yes,No,1000,1000,40,GetFood
0,Yes,No,1000,1000,40,GetFood
1,Yes,No,1000,1000,21,GetFood
1,Yes,No,1000,1000,21,GetFood
2,Yes,No,1000,1000,22,GetFood
3,Yes,No,1000,1000,23,GetFood
3,Yes,No,1000,1000,13,GetFood
3,Yes,No,1000,1000,13,GetFood
3,Yes,No,1000,1000,13,GetFood
3,Yes,No,1000,1000,3,GetFood
4,Yes,No,1000,1000,4,GetFood
5,No,No,1000,1000,-5,GetExit
4,No,No,1000,1000,-4,GetExit
3,No,No,1000,1000,-3,GetExit
2,No,No,1000,1000,-2,GetExit
1,No,No,1000,1000,-1,GetExit
0,No,No,1000,1000,0,GetExit
0,No,No,1000,1000,0,GetExit
0,No,No,1000,1000,0,GetExit
7,Yes,Yes,2,1,55,GetFood
7,Yes,Yes,2,1,55,GetFood
7,Yes,Yes,2,1,55,GetFood
7,Yes,Yes,2,1,55,GetFood
